index,text,created_at,retweet_count
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City via @truthout And leave them on the side of the road? Hmm?,2016-07-12 15:42:56,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/ObpNxRLu65,2016-07-12 15:30:11,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City: According to the National Allia... https://t.co/Ej5PhDDNLp,2016-07-12 15:26:36,0
,RT @BluehandNiger: #DontBombSyria San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City: ... https://t.co/iqFwBeeSJQ…,2016-07-12 15:14:34,0
,#DontBombSyria San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City: ... https://t.co/iqFwBeeSJQ #Bluehand #tcot,2016-07-12 15:05:18,1
,#DontBombSyria San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City: ... https://t.co/UW8GrZfYNK #Bluehand #tcot,2016-07-12 15:05:16,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/HyskouRPH2,2016-07-12 15:02:44,0
,Keep us in your prayers as we continue our immersion trip to the San Francisco tenderloin to accompany the homeless,2016-07-12 14:47:55,0
,“Young and Homeless” by California Sunday @CalSunday @laurensmiley @amystanden https://t.co/zBhNSBsocU,2016-07-12 14:45:08,0
,"RT @ZahraBilloo: Fasting Muslims packing 2,000 meals for the homeless in San Francisco. #ProjectFeed https://t.co/JEPRA4eNld",2016-07-12 14:17:32,0
,truthout - San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City // https://t.co/c7E1R9jJsf,2016-07-12 14:12:59,0
,San Francisco's Homeless Czar for https://t.co/Z8DLP6EgHc - Photographer Sarah Rice https://t.co/VJL5QrUqyI https://t.co/kYProZ6v29,2016-07-12 14:10:02,0
,RT @globalissuesweb: San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/fJUeWI1hSO https://t.co/oCCK…,2016-07-12 14:07:20,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/fJUeWI1hSO https://t.co/oCCKhrLTaH,2016-07-12 14:06:29,1
,"RT @susansternberg: Seen and not heard: homeless people absent from election even as ranks grow | US news | The Guardian
@alaa2325  https:/…",2016-07-12 12:59:43,0
,Woman who's been homeless since age 6 finds housing in San Francisco | https://t.co/fGm1HfUD0l https://t.co/nCwiX9QIcO,2016-07-12 11:39:41,0
